driver_id,policy_id,first_name,last_name,dob,license_number,relationship
1,28,Barbara,Miller,1951-12-12,D9385483,Other
2,166,James,Smith,1994-02-14,D3702865,Other
3,38,Susan,Williams,1969-05-22,D7658487,Child
4,200,Patricia,Williams,1991-10-04,D6732089,Self
5,142,Michelle,Davis,1989-04-08,D5742607,Child
6,186,Richard,Davis,1975-03-08,D2842134,Child
7,51,Richard,Williams,2007-04-06,D7973335,Other
8,136,Patricia,Garcia,1985-12-31,D2075252,Spouse
9,102,Barbara,Garcia,1971-03-07,D7291918,Child
10,5,William,Garcia,1998-12-10,D3769208,Child
11,120,David,Davis,1999-02-10,D6207525,Other
12,131,Barbara,Rodriguez,1956-02-09,D4943934,Spouse
13,146,Jane,Jones,1952-02-07,D2441200,Child
14,6,William,Miller,1988-02-26,D7999244,Other
15,80,Jane,Miller,1972-08-08,D9203187,Self
16,22,John,Martinez,1966-12-03,D4701758,Child
17,179,Patricia,Williams,2006-11-10,D6950079,Spouse
18,18,Robert,Williams,2007-03-27,D1424688,Child
19,119,James,Garcia,1986-09-24,D8871678,Spouse
20,188,Elizabeth,Davis,1962-07-18,D6847192,Spouse
21,58,Elizabeth,Smith,1972-09-24,D1271428,Child
22,10,James,Miller,1955-04-28,D8592317,Other
23,183,David,Johnson,1960-10-20,D7361269,Other
24,43,Michelle,Brown,1994-06-14,D5555586,Spouse
25,143,Linda,Williams,1964-12-21,D3080506,Other
26,183,James,Brown,1971-09-28,D8994606,Other
27,10,Patricia,Jones,1952-05-13,D5712362,Self
28,79,David,Smith,1970-12-03,D7437539,Child
29,5,Jane,Garcia,1964-11-08,D8351150,Child
30,196,Richard,Rodriguez,1975-09-22,D9640895,Child
31,45,Robert,Johnson,1999-04-08,D3232650,Other
32,76,Jane,Garcia,1981-04-07,D1808587,Self
33,32,Michael,Davis,1954-08-24,D3097065,Other
34,110,Michael,Miller,1983-02-21,D2276811,Child
35,43,Michael,Smith,1985-05-21,D9458883,Spouse
36,134,Elizabeth,Smith,1967-04-09,D4362372,Self
37,178,Michael,Smith,2002-06-18,D6456345,Child
38,188,Barbara,Rodriguez,1988-08-16,D1850893,Self
39,160,Michael,Davis,2002-06-18,D3184653,Child
